regulation_id,scope_type,scope_value,category,summary,detail,citation,source_url,source_last_updated,verified_date,scope_display
ca-campfire-permit,jurisdiction,CA,fire,"A free California Campfire Permit is required before you may have a campfire, camp stove, lantern or barbecue -- but holding one does NOT mean fires are allowed where you're going. Local restrictions override it.","The permit is a precondition, not an authorisation: CAL FIRE's own guidance says to check local rules, since many areas restrict or ban campfires outright, especially at elevation or in high fire danger. Where a wilderness bans fires, the permit still matters for a camp stove. Covers campfires, stoves, lanterns and barbeques used outside a campground or recreational vehicle, and the issuing forest states it is also required in some developed campgrounds -- being in a campground is not a reliable exemption. Free, valid for a full calendar year (January 1 to December 31), and available from CAL FIRE, US Forest Service or BLM offices as well as online. The signer must be 18 or older, so a group of minors cannot self-issue. Obtain it via readyforwildfire.org's campfire safety page, which links to the permit portal at permit.preventwildfiresca.org. NOTE: Eldorado NF's own camping page cites 'www.preventwildfiresca.org', which does not resolve -- readyforwildfire.org is the working entry point.",36 CFR 261.52(k); PRC 4433,https://www.readyforwildfire.org/prevent-wildfire/campfire-safety,,2026-09-12,
eldorado-dispersed-stay-limit,agency,eldorado_nf,camping,Dispersed camping outside a developed campground is limited to 10 days per ranger district per calendar year.,"Most Eldorado NF land is open to free dispersed camping unless specifically prohibited. There is no trash service -- pack it in, pack it out -- and no potable water, so bring your own rather than relying on lakes, streams or springs. Remove all equipment and garbage when leaving.",,https://www.fs.usda.gov/r05/eldorado/recreation/camping-cabins,,2026-09-12,Eldorado National Forest
desolation-campfire-ban,permit_group,desolation,fire,Campfires are prohibited year-round throughout Desolation Wilderness. Camp stoves are permitted.,A stove still requires the separate California Campfire Permit that applies statewide.,,https://www.recreation.gov/permits/233261,,2026-09-12,
desolation-bear-canister,permit_group,desolation,food_storage,"A hard-sided bear-resistant canister is REQUIRED for all overnight visitors, for food and toiletries alike.","Fines run up to $5,000 for non-compliance. Canisters rent free at Placerville Ranger Station; LTBMU rents them for a $50 deposit plus a daily fee ($5 for 1-3 days, $10 for 4-7, $15 for 8-14).",36 CFR 261.58(cc),https://www.recreation.gov/permits/233261,,2026-09-12,
desolation-group-size,permit_group,desolation,group_size,"Maximum group size is 12 people together at any time, children included in the count.",,,https://www.recreation.gov/permits/233261,,2026-09-12,
desolation-camp-setback,permit_group,desolation,camping,Camp on a durable surface at least 100 ft from any lakeshore or stream and from trails.,"Restoration sites have been closed to let damaged shorelines and meadows recover from overuse -- walk around them rather than through. Separately, four areas (Eagle Lake, Grouse and Hemlock Lakes, and the north and east sides of Lake of the Woods) allow camping only at designated sites; see data/permit_zones.csv for those zones' own rules.",,https://www.recreation.gov/permits/233261,,2026-09-12,
desolation-waste,permit_group,desolation,waste,"Human and dog waste must be packed out, or buried in a 6-8 inch cat hole at least 200 ft from water or trail. Pack out toilet paper.","Wash and clean cookware at least 200 ft from any water source. Soap of any kind, biodegradable included, is prohibited in streams, lakes and any other water source. No trash service -- pack out everything you pack in.",,https://www.recreation.gov/permits/233261,,2026-09-12,
desolation-pets,permit_group,desolation,pets,"Dogs are permitted but must be under control at all times, and El Dorado County has a mandatory leash law.","Bury or pack out dog waste on the same terms as human waste. Worth checking against neighbouring units before a multi-wilderness trip: Yosemite bans dogs from its wilderness entirely, so a dog-legal Desolation itinerary does not generalise.",,https://www.recreation.gov/permits/233261,,2026-09-12,
desolation-stock,permit_group,desolation,stock,Livestock limited to 2 per person and 12 per group; keep them 200 ft from water and 100 ft from campsites.,"Do not tie stock directly to trees except briefly while loading, unloading, or resting on the move -- highline instead. Weed-free forage only. Some trails are not recommended for stock.",,https://www.recreation.gov/permits/233261,,2026-09-12,
desolation-firearms,permit_group,desolation,weapons,"Discharging a firearm within 150 yards of a campsite or occupied area is prohibited, as is any discharge that puts people or property at risk.",,,https://www.recreation.gov/permits/233261,,2026-09-12,
desolation-natural-features,permit_group,desolation,natural_features,Damaging or removing any natural feature is prohibited.,Photograph what you find and leave it for others.,,https://www.recreation.gov/permits/233261,,2026-09-12,
desolation-commercial,permit_group,desolation,commercial,Commercial use may be prohibited or require a special use permit.,Charging a fee to lead a group into the wilderness counts as outfitting and guiding and needs a special use permit -- contact a Forest Service office.,,https://www.recreation.gov/permits/233261,,2026-09-12,
desolation-water,permit_group,desolation,water,"Treat all water by boiling, filtering, or purification tablets.",,,https://www.recreation.gov/permits/233261,,2026-09-12,
